ISO.g,GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,glottolog.language.y,hunter_gatherer
Kubu,Kubu,102.69,-3.04,NA,NA,Kubu,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Orogens,Orogens,122.5,51.91,NA,NA,Orogens,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Paraujano,Paraujano,-72.41,9.9,NA,NA,Paraujano,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Calusa,Calusa,-82,26.5,NA,NA,Calusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Botocudo,Botocudo,-41.86,-18.71,NA,NA,Botocudo,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Aweikoma,Aweikoma,-50,-28,NA,NA,Aweikoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Bambote,Bambote,28.26,-6.64,NA,NA,Bambote,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Mbuti,Mbuti,28.61,1.54,NA,NA,Mbuti,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Mikea,Mikea,43.81,-22.32,NA,NA,Mikea,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Mirrngadja,Mirrngadja,135.2,-12.31,NA,NA,Mirrngadja,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Lungga,Lungga,127.83,-16.91,NA,NA,Lungga,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Jinibarra,Jinibarra,152.87,-27.25,NA,NA,Jinibarra,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Karuwali,Karuwali,141.64,-24.41,NA,NA,Karuwali,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Nakako,Nakako,128.19,-27.31,NA,NA,Nakako,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Ooldea,Ooldea,131.81,-30.38,NA,NA,Ooldea,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Mineng,Mineng,117.81,-34.95,NA,NA,Mineng,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Tjapwurong,Tjapwurong,141.38,-35.86,NA,NA,Tjapwurong,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Bunurong,Bunurong,145.07,-38.93,NA,NA,Bunurong,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Kurnai,Kurnai,147.42,-37.59,NA,NA,Kurnai,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Tasmanians,Tasmanians,147.49,-42.62,NA,NA,Tasmanians,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Tasmanians (Western),Tasmanians (Western),145.21,-41.38,NA,NA,Tasmanians (Western),NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Nomlaki,Nomlaki,-122.56,40,NA,NA,Nomlaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
Chichimec,Chichimec,-100,22,NA,NA,Chichimec,NA,NA,NA,NA,NA,NA,NA,NA,NA,hg
