Language,ISO,Country
Aasáx,aas,Tanzania
Boni,bob,Kenya
Boon,bnl,Somalia
Dahalo,dal,Kenya
Elmolo,elo,Kenya
Sanye ~ Waata,ssn,Kenya
Yaaku,muu,Kenya
Asoa,asv,DRC
Efe,efe,DRC
Aramanik,aam,Tanzania
Kisankasa,kqh,Tanzania
Mosiro,mwy,Tanzania
Mediak,mwx,Tanzania
"Okiek, Sogoo",oki,Kenya
Omotik (Datooga),omt,Kenya
Koegu,xwg,Ethiopia
Hadza,hts,Tanzania
Kujarge,vkj,Chad
Gǀui,gwj,Botswana
Gǁana,gnk,Botswana
Haiǁom,hgm,Namibia
Khwe,xuu,"Botswana, Namibia"
Kua,tyu,Botswana
Naro,nhr,Botswana
Shua,shg,Botswana
Tyua,hio,Botswana
ǁAni,hnh,Botswana
Juǀ'hoan,ktz,"Namibia, Botswana"
Kung-Ekoka,knw,Namibia
Maligo,mwj,Angola
Vasekela Bushman,vaj,Angola
ǃOǃung,oun,"Namibia, Angola"
ǂHoan,huc,Botswana
ǂKx'auǁ'ein,aue,"Namibia, Botswana"
Yaka ~ Aka,axk,"CAR, Congo"
Baka,bkc,Cameroon
Ongota ~ Birale,bxe,Ethiopia
Sandawe,sad,Tanzania
Shabo ~ Mikeyir,sbf,Ethiopia
Nǀuu ~ Nǁng,ngh,South Africa
Seroa,kqu,South Africa
ǀHaasi,No code,"South Africa, Botswana"
ǀXam,xam,South Africa
ǀ'Auni,No code,"South Africa, Botswana"
ǃXóõ ~ Taa,nmn,"Botswana, Namibia"
ǂUngkwe,No code,South Africa
ǁXegwi,xeg,South Africa
Batek (Semang),btq,Malaysia
Jehai (Semang),jhi,Malaysia
Kensiu (Semang),kns,Malaysia
Kintaq (Semang),knq,Malaysia
Lanoh (Semang),lnh,Malaysia
Minriq (Semang),mnq,Malaysia
Mintil (Semang),mzt,Malaysia
Sabüm (Semang),sbo,Malaysia
Semaq Beri,szc,Malaysia
Semnam (Semang),ssm,Malaysia
Tea-de (Semang),No code,Malaysia
Tonga (Ten'en) (Semang),tnz,Thailand
Blang,blr,"China, Myanmar, Thailand"
Chut ~ Ruc/May,scb,"Vietnam, Laos"
"Lawa, Western",lcp,"China, Thailand"
Mlabri (Minor),mra,Thailand
Pnar,pbv,India
Birhor,biy,India
Juang,jun,India
Moken (Mergui sea nomads),mwt,"Myanmar, Thailand"
Urak Lawoi',urk,Thailand
"Agta, Isarog",agk,Philippines
"Agta, Mt. Iraya",atl,Philippines
"Agta, Mt. Iriga",agz,Philippines
Ata,atm,Philippines
Ati,atk,Philippines
"Ayta, Sorsogon",ays,Philippines
"Ayta, Tayabas",ayy,Philippines
Batak,bya,Philippines
Mamanwa,mmn,Philippines
"Agta, Alabat Island",dul,Philippines
"Agta, Camarines Norte",abd,Philippines
"Agta, Casiguran Dumagat",dgc,Philippines
"Agta, Central Cagayan",agt,Philippines
"Agta, Dicamay",duy,Philippines
"Agta, Dupaninan",duo,Philippines
"Agta, Remontado",agv,Philippines
"Agta, Umiray Dumaget",due,Philippines
"Agta, Villa Viciosa",dyg,Philippines
"Alta, Northern",aqn,Philippines
"Alta, Southern",agy,Philippines
Arta,atz,Philippines
"Atta, Faire",azt,Philippines
"Atta, Pamplona",att,Philippines
"Atta, Pudtol",atp,Philippines
"Ayta, Abenlen",abp,Philippines
"Ayta, Ambala",abc,Philippines
"Ayta, Bataan",ayt,Philippines
"Ayta, Mag-Anchi",sgb,Philippines
